STATION,NAME,Year,Decade,Month,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-01,0,0,0,28,21,25,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-02,0.01,0,0,31,25,31,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-03,0.02,0.3,0,31,19,24,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-04,0,0,0,24,19,22,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-05,0.05,0.6,1,29,20,25,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-06,0.06,0.5,1,25,9,24,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-07,0.17,0.7,1,34,13,19,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-08,0.01,0.1,1,22,14,18,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-09,0,0,1,22,8,19,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-10,0,0,1,29,8,29,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-11,0.25,0,0,52,28,31,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-12,0.02,0.3,0,31,11,21,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-13,0,0,0,38,20,36,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-14,0.02,0.1,0,44,29,39,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-15,0,0,0,39,27,33,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-16,0,0,0,39,31,38,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-17,0.07,0,0,47,37,37,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-18,0,0,0,39,33,35,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-19,0,0,0,36,26,33,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-20,0,0,0,33,21,31,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-21,0,0,0,40,22,35,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-22,0.02,0.3,0,35,28,32,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-23,0.05,0.8,1,32,13,14,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-24,0.06,1,2,17,7,14,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-25,0.08,0.6,2,23,13,20,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-26,0,0,2,26,8,22,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-27,0.03,0.6,2,24,13,21,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-28,0.01,0.1,2,21,10,18,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-29,0.01,0.2,2,20,11,17,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-30,0,0,2,19,8,15,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,01,1980-01-31,0,0,2,20,5,15,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-01,0,0,2,20,0,16,
USC00200230,"ANN ARBOR U OF MICH, MI US",1980,1980,02,1980-02-02,0,0,1,22,2,17,
