Product_Name,Species,Breed,Age,Age_UOM,Gender,Weight,Weight_UOM
Hills prescription diet u/d canned food and dry food,Dog,Dalmatian,8,Years,Male,96.4,Pound
EVO Grainfree Turkey and Chicken Formula Cat and Kitten,Cat,Himalayan,2,Years,Female,6.6,Pound
Rachael Ray Nutrish,Cat,Domestic (unspecified),4,Years,Male,12,Pound
Merrick Purrfect Bistro Grain Free Real Chicken Recipe,Cat,Mixed (Cat),12,Years,Female,5.3,Kilogram
Merrick Purrfect Bistro Grain Free Real Chicken Recipe,Cat,Mixed (Cat),9,Years,Male,4.4,Kilogram
Merrick Purrfect Bistro Grain Free Real Chicken Recipe,Cat,Mixed (Cat),9,Years,Male,9.5,Kilogram
Earthborn Holistic Primitive Natural,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided
Nature's Variety Instinct Limited Ingredient Diet Lamb Meal & Peas Formula,Dog,Retriever - Golden,8.5,Years,Male,66,Pound
California Natural Grain Free,Dog,Schnauzer - Miniature,2.5,Years,Male,8.2,Kilogram
California Natural Grain Free,Dog,Schnauzer - Miniature,7,Years,Male,9.6,Kilogram
California Natural Grain-Free,Dog,Mixed (Dog),6,Years,Female,25.1,Kilogram
California Natural Grain-Free,Dog,Retriever - Labrador,8,Years,Female,32.1,Kilogram
California Natural Grain-Free,Dog,Retriever - Labrador,5,Years,Female,25.6,Kilogram
Zignature Kangaroo Limited,Dog,Spaniel - Cocker American,4,Years,Male,15.5,Kilogram
kangaroo as protein source -,Dog,Shih Tzu,8,Years,Male,6.08,Kilogram
Acana Lamb & Apple Singles,Dog,Retriever - Golden,10,Years,Male,29.6,Kilogram
Zignature Kangaroo Formula,Dog,Retriever - Labrador,13,Years,Female,33.18,Kilogram
Grain Free Easy to Digest,Dog,Terrier - Bull,8,Years,Male,26.3,Kilogram
Grain Free Easy to Digest,Dog,Spaniel - Cocker,13,Years,Female,11.7,Kilogram
Taste of the Wild,Dog,Hound - Afghan,11,Years,Female,32.4,Kilogram
Zignature Kangaroo Formula,Dog,Retriever - Golden,6,Years,Male,40,Kilogram
Kirkland Signature Nature's,Dog,Retriever - Golden,11,Years,Female,31.1,Kilogram
Blue Buffalo Basics salmon and potato dry food - regular and grain-free:,Dog,Doberman Pinscher,7,Years,Male,Not provided,Not provided
4health Grain-Free Large Breed,Dog,Unknown,Not provided,Not provided,Unknown,Not provided,Not provided
4health Grain Free Beef & Potato Formula,Dog,Retriever - Golden,6.2,Years,Male,34.5,Kilogram
