food,servings_per_container,grams_per_serving,calories_per_serving,price_per_container
moon pies,12,108,300,4.83
hohos,3,85,380,2.99
twinkies,5,77,260,2.99
snoballs,6,50,160,2.99
zebra cakes,5,74,320,1.72
cosmic brownies,6,62,280,1.72
donut sticks,6,47,220,1.99
honey buns,6,50,230,1.86
fruit pies,12,28,100,4.32
elfwich,10,35,180,2.56
fudge stripes,18,28,140,3.56
nutrigrain,16,37,130,3.92
fudge poptarts,4,96,370,1.98
oatmeal cream pies,12,38,170,1.98
strawberry shortcake roll,6,61,240,1.98
swiss rolls,6,61,270,1.98
fudge covered oreos,12,24,120,4.5
peanut butter,35,32,180,3.99
