Viol Location,Offense,Speed Limit,Officer Name,Vio Date,Vio Time,Original Bal
0001700  BLK NW LOOP 410 WBML,SPEEDING  81 MPH in a  65 MPH zone,65,"COSSU, DANIEL",1/20/2018,7:40:00 PM,211.1
1900     JACKSON KELLER                                                                                      RD,SPEEDING  47 MPH in a  35 MPH zone,35,"TOMBLIN, GARY",1/20/2018,11:11:00 PM,191.1
1100   NWLOOP 410 EBFR,SPEEDING  60 MPH in a  45 MPH zone,45,"LEMMON, MATTHEW",1/20/2018,1:59:00 PM,206.1
2100   NWLOOP 410 WBML,SPEEDING  80 MPH in a  65 MPH zone,65,"LEMMON, MATTHEW",1/20/2018,1:46:00 PM,206.1
1900   NWLOOP 410 EBML,SPEEDING  80 MPH in a  65 MPH zone,65,"LEMMON, MATTHEW",1/20/2018,1:33:00 PM,206.1
1400   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",1/20/2018,1:19:00 PM,206.1
1900   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"SINGLETON, R.",1/18/2018,9:32:00 PM,206.1
1900   NWLOOP 410 WBML,SPEEDING  82 MPH in a  65 MPH zone,65,"DAVILA, J",1/17/2018,8:12:00 PM,216.1
6800     WEST                                                                                                AV,SPEEDING  52 MPH in a  35 MPH zone,35,"WAGGONER, W.",1/17/2018,5:10:00 PM,216.1
0006400  BLK BLANCO,SPEEDING  50 MPH in a  35 MPH zone,35,"COSSU, DANIEL",1/17/2018,12:50:00 PM,206.1
0006400  BLK WEST AVENUE,SPEEDING  49 MPH in a  35 MPH zone,35,"COSSU, DANIEL",1/17/2018,12:33:00 PM,201.1
6400     WEST                                                                                                AV,SPEEDING  52 MPH in a  35 MPH zone,35,"DAVILA, J",1/16/2018,5:51:00 PM,216.1
1900   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"SINGLETON, R.",1/16/2018,4:07:00 PM,206.1
5700     BLANCO                                                                                              RD,SPEEDING  48 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",1/15/2018,12:36:00 PM,196.1
2000   NWMILITARY                                                                                            HY,SPEEDING  48 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",1/15/2018,12:10:00 PM,196.1
2200   NWMILITARY                                                                                            HY,SPEEDING  51 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",1/15/2018,11:59:00 AM,211.1
2100   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",1/15/2018,11:49:00 AM,191.1
1900   NWLOOP 410 WBML,SPEEDING  86 MPH in a  65 MPH zone,65,"FAWCETT, DAVID",1/14/2018,8:16:00 AM,236.1
2200   NWMILITARY                                                                                            HY,SPEEDING  51 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",1/14/2018,8:15:00 AM,211.1
1700   NWLOOP 410 WBML,SPEEDING  77 MPH in a  65 MPH zone,65,"LEMMON, MATTHEW",1/14/2018,6:25:00 PM,191.1
6600     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",1/14/2018,3:11:00 PM,206.1
1700   NWLOOP 410 WBML,SPEEDING  90 MPH in a  65 MPH zone,65,"CASTANEDA, RAYMOND",1/14/2018,2:02:00 AM,256.1
0006400  BLK BLANCO,SPEEDING  47 MPH in a  35 MPH zone,35,"COSSU, DANIEL",1/14/2018,1:30:00 PM,191.1
0001600  BLK JACKSON KELLER,SPEEDING  54 MPH in a  35 MPH zone,35,"COSSU, DANIEL",1/13/2018,3:03:00 PM,226.1
1200   NWLOOP 410 EBFR,SPEEDING  59 MPH in a  45 MPH zone,45,"LEMMON, MATTHEW",1/13/2018,1:25:00 PM,201.1
1800   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",1/13/2018,1:12:00 PM,206.1
2200   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",1/13/2018,1:03:00 PM,191.1
6400     WEST                                                                                                AV,SPEEDING  52 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",1/12/2018,4:45:00 PM,216.1
6400     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  38 MPH in a  20 MP,20,"SINGLETON, R.",1/12/2018,3:23:00 PM,271.1
6200     WEST                                                                                                AV,SPEEDING  73 MPH in a  35 MPH zone,35,"CASTANEDA, RAYMOND",1/12/2018,11:43:00 PM,321.1
0006400  BLK BLANCO,SPEEDING  46 MPH in a  35 MPH zone,35,"COSSU, DANIEL",1/12/2018,11:26:00 AM,186.1
1000     JACKSON KELLER                                                                                      RD,SPEEDING  47 MPH in a  35 MPH zone,35,"TOMBLIN, GARY",1/11/2018,12:06:00 AM,191.1
1200     JACKSON KELLER                                                                                      RD,SPEEDING  48 MPH in a  35 MPH zone,35,"ZUNIGA, E.",1/10/2018,4:55:00 PM,196.1
6900     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  46 MPH in a  20 MP,20,"WAGGONER, W.",1/10/2018,3:06:00 PM,311.1
6400     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  40 MPH in a  20 MP,20,"SINGLETON, R.",1/10/2018,3:05:00 PM,281.1
6900     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  36 MPH in a  20 MP,20,"WAGGONER, W.",1/10/2018,2:44:00 PM,271.1
6400     WEST                                                                                                AV,SPEEDING SCHOOL ZONE  37 MPH in a  20 MP,20,"CRAWFORD, TONY",1/9/2018,8:51:00 AM,266.1
