"Data.Precipitation","Date.Full","Date.Month","Date.Week of","Date.Year","Station.City","Station.Code","Station.Location","Station.State","Data.Temperature.Avg Temp","Data.Temperature.Max Temp","Data.Temperature.Min Temp","Data.Wind.Direction","Data.Wind.Speed"
"0.0","2016-01-03","1","3","2016","Birmingham","BHM","Birmingham, AL","Alabama","39","46","32","33","4.33"
"0.0","2016-01-03","1","3","2016","Huntsville","HSV","Huntsville, AL","Alabama","39","47","31","32","3.86"
"0.16","2016-01-03","1","3","2016","Mobile","MOB","Mobile, AL","Alabama","46","51","41","35","9.73"
"0.0","2016-01-03","1","3","2016","Montgomery","MGM","Montgomery, AL","Alabama","45","52","38","32","6.86"
"0.01","2016-01-03","1","3","2016","Anchorage","ANC","Anchorage, AK","Alaska","34","38","29","19","7.8"
"0.09","2016-01-03","1","3","2016","Annette","ANN","Annette, AK","Alaska","38","44","31","9","8.7"
"0.05","2016-01-03","1","3","2016","Bethel","BET","Bethel, AK","Alaska","30","36","24","9","16.46"
"0.15","2016-01-03","1","3","2016","Bettles","BTT","Bettles, AK","Alaska","22","32","9","2","3.1"
"0.6","2016-01-03","1","3","2016","Cold Bay","CDB","Cold Bay, AK","Alaska","34","36","31","20","9.1"
"2.15","2016-01-03","1","3","2016","Cordova","CDV","Cordova, AK","Alaska","38","43","33","9","9.76"
"0.0","2016-01-03","1","3","2016","Delta Junction/Ft Greely","BIG","Delta Junction/Ft Greely, AK","Alaska","31","39","23","14","17.9"
"0.0","2016-01-03","1","3","2016","Fairbanks","FAI","Fairbanks, AK","Alaska","14","30","4","2","2.2"
"0.02","2016-01-03","1","3","2016","Gulkana","GKN","Gulkana, AK","Alaska","27","34","19","14","8.23"
"1.22","2016-01-03","1","3","2016","Homer","HOM","Homer, AK","Alaska","39","42","35","9","11.26"
"0.0","2016-01-03","1","3","2016","Iliamna","ILI","Iliamna, AK","Alaska","40","42","37","9","19.76"
"0.7","2016-01-03","1","3","2016","Juneau","JNU","Juneau, AK","Alaska","36","40","31","10","9.23"
"0.14","2016-01-03","1","3","2016","Kenai","ENA","Kenai, AK","Alaska","34","37","30","6","11.2"
"0.17","2016-01-03","1","3","2016","Ketchikan","KTN","Ketchikan, AK","Alaska","37","41","33","15","6.16"
"0.05","2016-01-03","1","3","2016","King Salmon","AKN","King Salmon, AK","Alaska","39","42","35","10","18.83"
"1.3","2016-01-03","1","3","2016","Kodiak","ADQ","Kodiak, AK","Alaska","40","42","36","11","21.8"
"0.1","2016-01-03","1","3","2016","Kotzebue","OTZ","Kotzebue, AK","Alaska","27","33","20","11","11.76"
"0.01","2016-01-03","1","3","2016","Mc Grath","MCG","Mc Grath, AK","Alaska","30","39","20","15","3.7"
"0.08","2016-01-03","1","3","2016","Nome","OME","Nome, AK","Alaska","29","32","25","6","12.86"
"0.0","2016-01-03","1","3","2016","Northway","ORT","Northway, AK","Alaska","0","8","-9","20","0.36"
"0.4","2016-01-03","1","3","2016","Palmer","PAQ","Palmer, AK","Alaska","37","42","32","8","10.5"
"0.0","2016-01-03","1","3","2016","Petersburg","PSG","Petersburg, AK","Alaska","60","60","60","18","1.83"
"0.0","2016-01-03","1","3","2016","Puntilla Lake","PTI","Puntilla Lake, AK","Alaska","60","60","60","0","0.0"
"0.0","2016-01-03","1","3","2016","Shemya","SYA","Shemya, AK","Alaska","60","60","60","0","0.0"
"0.37","2016-01-03","1","3","2016","Sitka","SIT","Sitka, AK","Alaska","43","46","39","19","11.26"
"0.55","2016-01-03","1","3","2016","Skagway","SGY","Skagway, AK","Alaska","38","42","33","14","5.2"
"0.15","2016-01-03","1","3","2016","St Paul Island","SNP","St Paul Island, AK","Alaska","32","35","29","22","9.03"
"0.04","2016-01-03","1","3","2016","Talkeetna","TKA","Talkeetna, AK","Alaska","32","39","23","2","4.93"
"0.0","2016-01-03","1","3","2016","Tanana","TAL","Tanana, AK","Alaska","21","29","13","8","3.83"
"0.05","2016-01-03","1","3","2016","Utqiagvik (Barrow)","BRW","Utqiagvik (Barrow), AK","Alaska","6","9","2","6","13.76"
"2.42","2016-01-03","1","3","2016","Yakutat","YAK","Yakutat, AK","Alaska","36","40","32","11","5.93"
"0.0","2016-01-03","1","3","2016","Douglas Bisbee","DUG","Douglas Bisbee, AZ","Arizona","41","57","24","6","4.2"
"0.0","2016-01-03","1","3","2016","Kingman","IGM","Kingman, AZ","Arizona","40","54","25","4","4.2"
"0.0","2016-01-03","1","3","2016","Phoenix","PHX","Phoenix, AZ","Arizona","58","69","45","13","5.8"
"0.0","2016-01-03","1","3","2016","Tucson","TUS","Tucson, AZ","Arizona","56","69","43","12","12.93"
"0.0","2016-01-03","1","3","2016","Winslow","INW","Winslow, AZ","Arizona","29","42","15","27","2.7"
"0.0","2016-01-03","1","3","2016","Fort Smith","FSM","Fort Smith, AR","Arkansas","39","51","27","27","5.16"
"0.0","2016-01-03","1","3","2016","Harrison","HRO","Harrison, AR","Arkansas","38","48","27","29","7.4"
"0.0","2016-01-03","1","3","2016","North Little Rock","LZK","North Little Rock, AR","Arkansas","42","49","34","0","0.0"
"0.0","2016-01-03","1","3","2016","Bakersfield","BFL","Bakersfield, CA","California","47","60","33","34","2.2"
"0.0","2016-01-03","1","3","2016","Bishop","BIH","Bishop, CA","California","27","42","12","32","3.06"
"0.0","2016-01-03","1","3","2016","China Lake","NID","China Lake, CA","California","35","49","21","21","1.56"
"0.0","2016-01-03","1","3","2016","Concord","CCR","Concord, CA","California","44","51","37","6","4.06"
"0.06","2016-01-03","1","3","2016","Eureka","EKA","Eureka, CA","California","44","53","33","0","0.0"
"0.0","2016-01-03","1","3","2016","Fresno","FAT","Fresno, CA","California","46","55","36","25","0.86"
"0.0","2016-01-03","1","3","2016","Hayward","HWD","Hayward, CA","California","47","53","41","6","6.56"
"0.0","2016-01-03","1","3","2016","Long Beach","LGB","Long Beach, CA","California","54","65","43","24","2.13"
"0.0","2016-01-03","1","3","2016","Los Angeles","LAX","Los Angeles, CA","California","55","63","45","15","2.76"
"0.0","2016-01-03","1","3","2016","Red Bluff","RBL","Red Bluff, CA","California","44","50","36","33","7.73"
"0.0","2016-01-03","1","3","2016","Redding","RDD","Redding, CA","California","45","51","38","34","6.16"
"0.0","2016-01-03","1","3","2016","Sacramento","SAC","Sacramento, CA","California","44","52","34","34","3.63"
"0.0","2016-01-03","1","3","2016","Salinas","SNS","Salinas, CA","California","49","57","41","8","6.46"
"0.0","2016-01-03","1","3","2016","San Diego","SAN","San Diego, CA","California","55","64","45","24","1.83"
"0.04","2016-01-03","1","3","2016","San Francisco","SFO","San Francisco, CA","California","46","51","41","10","4.43"
"0.0","2016-01-03","1","3","2016","Sandberg","SDB","Sandberg, CA","California","39","44","33","8","18.8"
"0.0","2016-01-03","1","3","2016","Santa Barbara","SBA","Santa Barbara, CA","California","51","62","39","12","4.9"
"0.0","2016-01-03","1","3","2016","Santa Maria","SMX","Santa Maria, CA","California","51","63","37","21","3.86"
"0.0","2016-01-03","1","3","2016","Stockton","SCK","Stockton, CA","California","42","51","33","26","1.86"
"0.0","2016-01-03","1","3","2016","Alamosa","ALS","Alamosa, CO","Colorado","14","33","-5","32","1.4"
"0.0","2016-01-03","1","3","2016","Colorado Springs","COS","Colorado Springs, CO","Colorado","28","45","9","15","3.13"
"0.0","2016-01-03","1","3","2016","Craig","CAG","Craig, CO","Colorado","-10","3","-23","12","0.4"
"0.0","2016-01-03","1","3","2016","Denver","DEN","Denver, CO","Colorado","27","40","12","20","7.2"
"0.0","2016-01-03","1","3","2016","Grand Junction","GJT","Grand Junction, CO","Colorado","14","24","4","8","4.46"
"0.0","2016-01-03","1","3","2016","Pueblo","PUB","Pueblo, CO","Colorado","26","47","4","27","1.93"
"0.0","2016-01-03","1","3","2016","Bridgeport","BDR","Bridgeport, CT","Connecticut","38","43","32","27","8.86"
